Fibre Radius in mm,Fibre Angle in Degrees,Fibre Youngs Modulus in N/mm^2,Buckling Load for first eigenmode in N,Buckling Load for second eigenmode in N,Buckling Load for third eigenmode in N
67.64593214196185,66.15141647459302,125041.36087957885,' 2040.7,' 2139.1,' 5989.1'

30.958370798085287,57.31585769217772,137426.4000198434,' 2202.5,' 2313.9,' 6440.2'

63.47088828573284,71.14691435625949,766688.3528939701,' 12196.,' 12838.,' 35398.'

30.42829889384805,48.98918865804842,105002.67220931333,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

113.44808830545568,55.92681256991159,691832.6324157843,' 10494.,' 11850.,' 30867.'

69.88157939601619,20.17175422473526,632753.3369478404,' 10180.,' 10679.,' 29600.'

68.91519674374187,70.03231060184973,176946.20514576265,' 2894.3,' 3045.9,' 8433.1'

62.34689830468069,71.89316291810924,498619.8751283641,' 7937.4,' 8356.6,' 23106.'

126.78022144919532,3.3185487865664363,38902.97227906418,' 3441.5,' 9256.6,' 15598.'

96.10570429156753,60.42377166620926,81499.71572511645,' 1429.4,' 1555.6,' 4237.5'

118.68546561301176,19.547190658563597,395204.20444429066,' 6223.3,' 7090.3,' 18483.'

110.03886555229955,44.41255444341429,354868.1195816653,' 5704.2,' 6310.7,' 16872.'

121.43714589620272,22.317704021678352,321246.2338709111,' 19101.,' 51980.,' 88028.'

52.01505039410557,45.96300834206399,462906.4452861088,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

56.076867006354604,16.50298425584461,622874.473124792,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

116.38841892623012,22.164025219643435,719249.770151197,' 10895.,' 12487.,' 32113.'

68.3576277821079,38.69391327022729,563460.4885514507,' 9059.5,' 9502.6,' 26312.'

30.7981849855572,46.25386205461788,747117.9024686175,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

114.4591153611763,88.68030088124203,218882.40515828656,' 3688.4,' 4109.1,' 11024.'

104.37963795248082,38.36849475694724,346762.85857598024,' 5530.8,' 6071.6,' 16403.'

66.55253499136481,16.646461693867035,627980.1946792889,' 10056.,' 10540.,' 29286.'

60.79851983220791,27.48710285756748,688337.3879671482,' 11089.,' 11691.,' 32279.'

110.22281108667262,46.59362406730702,309183.2908493681,' 4997.4,' 5516.2,' 14790.'

37.2641048240884,15.245016113213435,165447.4108137096,' 2648.2,' 2790.7,' 7748.0'

85.25731581724742,61.974978652688726,693423.9887411556,' 10968.,' 11690.,' 31940.'

26.294526253628835,53.92729428237383,651519.9180780062,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

50.49702798198783,14.102183901158238,357926.22121879895,' 5650.2,' 5739.3,' 16460.'

125.2393510870874,56.971102195575476,393677.5128157908,' 21610.,' 58905.,'1.01232E+05'

28.08286807120789,20.709437370341714,92189.0976025379,' 1468.1,' 1542.8,' 4290.8'

76.14660867095108,61.906016261044144,504993.1686203176,' 8097.5,' 8561.1,' 23628.'

53.2305188950738,72.5850819229083,115060.70572000838,' 1867.8,' 1960.7,' 5465.4'

36.058435001963275,62.34594515678322,246073.15785889092,' 3929.1,' 4135.5,' 11472.'

112.45926323574044,33.6988544016945,327970.788362239,' 5308.6,' 5918.2,' 15607.'

53.33932405677107,72.77493335158154,749489.3053752416,' 11987.,' 12553.,' 34779.'

64.23590138856503,62.66587044042806,394454.9584518543,' 6343.0,' 6624.7,' 18459.'

62.311112358782815,49.26503370265958,31711.084823371406,' 517.92,' 540.64,' 1524.8'

53.69682443897039,41.415524843882366,149472.19564937503,' 2413.6,' 2511.6,' 7027.6'

60.70628141505051,86.59653969426732,447326.8546949737,' 7201.9,' 7513.8,' 20985.'

56.35553343724197,53.79993539059705,266002.57570293033,' 4300.7,' 4464.2,' 12463.'

67.93121571964727,7.1745457324591415,136522.17844926973,' 2233.3,' 2342.5,' 6533.7'

89.03505078034583,66.1278216667042,301516.7899142902,' 4877.0,' 5205.9,' 14336.'

114.31141205310495,62.61835245163743,642993.6337625309,' 9882.5,' 11167.,' 29017.'

46.87724969220771,45.058261326173024,155652.72468627628,' 2509.1,' 2626.3,' 7316.3'

119.81653140005169,41.87849024654875,688677.1442200497,' 10434.,' 12068.,' 30844.'

123.11100374600456,24.25542713024788,269881.5951109803,' 16103.,' 44039.,' 73705.'

114.15522219632454,85.19711949796825,489860.9323011272,' 7612.5,' 8609.0,' 22467.'

96.51104606856437,45.91201547104104,480191.2831915017,' 7710.1,' 8317.8,' 22457.'

37.64562648347925,26.32488376608558,386550.15853247244,' 6191.9,' 6493.0,' 18009.'

81.92132969937967,57.121044111610686,657042.1812113514,' 10428.,' 11042.,' 30411.'

124.40740248803876,38.0949888430162,95116.74294157178,' 6819.3,' 18298.,' 30864.'

88.5012241981226,48.0360843404491,227646.052425076,' 3690.3,' 3954.8,' 10840.'

68.66441030927909,55.41650328886976,726617.7609760128,' 11654.,' 12258.,' 33867.'

69.07563962353572,45.48431650117931,695890.1478965428,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

49.88931353239811,87.57777027887217,596347.5774655933,' 9501.4,' 10058.,' 27697.'

49.56762180713536,72.44279151480298,316761.59969152237,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

95.27035497968612,85.39975070005241,484584.68954063737,' 7745.6,' 8386.0,' 22506.'

126.65568772564671,72.09904565211728,279477.11567596445,' 16263.,' 44007.,'-74687.'

70.25725880944071,89.77404431490714,213632.02145638087,' 3480.6,' 3650.9,' 10159.'

53.032507858425944,77.22600557541999,394073.3447166424,' 6312.2,' 6639.4,' 18386.'

41.52762747625983,63.38661592317491,706226.7136799267,' 11387.,' 11976.,' 33104.'

43.15803122938911,51.21656032671169,437124.39840002503,' 7048.7,' 7419.1,' 20495.'

112.62945887408324,46.80691088913356,448513.46046137804,' 7040.2,' 7874.1,' 20714.'

97.1264979738044,89.93984762093102,561804.2551409821,' 8898.3,' 9697.8,' 25874.'

52.4390375539762,72.87790014951091,778734.3601421913,' 12461.,' 13172.,' 36312.'

48.13561470864289,9.069459789057587,159424.78089516328,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

39.579379929467734,50.2158359961169,605701.46779666,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

101.1782713860642,46.05184276993391,682739.0606153926,' 10729.,' 11715.,' 31319.'

114.70693740224806,78.71260226583661,433830.79684581514,' 6856.5,' 7713.7,' 20253.'

61.74413224187078,85.67821830521193,100204.29589431183,' 1636.7,' 1720.9,' 4784.3'

57.33781908824472,3.0246199776597797,12065.741935610355,' 202.15,' 213.59,' 595.07'

104.88925244182523,10.140653532515056,601215.7158955107,' 9429.7,' 10382.,' 27578.'

80.9360632644908,45.80674447613867,482335.6422262323,' 7644.5,' 8119.1,' 22270.'

95.42126550892945,48.70443092236109,380713.85354335443,' 6119.9,' 6582.7,' 17858.'

74.62379550922032,32.61505431873864,734159.1284361902,' 11773.,' 12438.,' 34248.'

112.78752688630111,9.291863030171362,328754.1461080568,' 5285.8,' 5870.3,' 15607.'

73.2446970311899,10.815858358658573,777333.6840040465,' 12403.,' 13144.,' 36101.'

47.60932320468716,39.30789255869927,525166.9294201693,' 8435.0,' 8780.6,' 24416.'

60.24418380011539,83.36449251830336,186447.6270171354,' 2994.1,' 3127.9,' 8754.4'

122.600483606605,59.30447709687091,356119.16932174336,' 20394.,' 55522.,' 94154.'

65.97587984279411,87.07552980155468,222209.92053745192,' 3607.9,' 3783.9,' 10571.'

96.20662036587582,37.45211287852138,367441.2874854852,' 5899.9,' 6382.1,' 17358.'

77.3488505390593,32.53382778287092,65249.62659475773,' 1099.7,' 1170.4,' 3248.3'

66.78777408056145,50.9747276879079,641472.0311330574,' 10263.,' 10776.,' 29814.'

88.62801431498039,52.41880104664799,476244.60192185786,' 7574.8,' 8134.9,' 22174.'

123.29820275706368,47.63350356272891,24698.0927455454,' 2396.4,' 6445.7,' 10968.'

81.42353144260075,74.06443976626475,576071.5375794775,' 9143.7,' 9728.9,' 26649.'

79.36494970450343,47.813069326873496,599875.8038488157,' 9532.9,' 10098.,' 27685.'

110.54735546884862,81.32266439655137,33777.53933169904,' 694.69,' 768.48,' 2104.4'

94.07481834696502,25.85598029038158,91482.01649632704,' 1569.2,' 1699.9,' 4653.0'

95.17784577924905,56.63095400393144,211366.247083933,' 3467.4,' 3725.2,' 10254.'

116.23838308207165,10.450805675974904,58327.970023932205,' 1168.7,' 1314.8,' 3551.2'

79.93058484963669,40.29181777937684,758315.237153995,' 12017.,' 12811.,' 34947.'

81.14834314198296,61.588300391973505,450085.8490756903,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

102.00622337746323,70.35336099404924,478829.9669828335,' 7580.4,' 8318.2,' 22222.'

90.15597332813024,18.57146817879657,282665.0387942062,' 4573.3,' 4894.5,' 13456.'

57.88005137428411,21.555982139007973,510838.17129792174,' 8174.2,' 8541.3,' 23787.'

55.04405860612594,47.60981076374711,172127.2445245362,' 2795.1,' 2912.5,' 8180.5'

85.70100907432032,9.336867302285341,127291.94415476317,' 2103.3,' 2240.0,' 6220.1'

105.04249582475884,65.61533029501395,492922.2024494886,' 7807.1,' 8503.0,' 22970.'

126.8813574822932,65.7245351490918,240407.96170273796,' 14579.,' 39753.,' 66199.'

109.89211122088301,5.153503068413648,434492.9010351868,' 6819.5,' 7570.4,' 20134.'

43.78336845226007,23.26710008399392,553468.8708277018,' 8811.2,' 9257.7,' 25753.'

86.78337150731977,85.62723522347704,43083.82058240802,' 752.01,' 811.06,' 2250.2'

53.506337631579704,51.33005123231153,167493.6403027775,' 2691.4,' 2810.0,' 7850.5'

70.09209698555253,87.16493757199606,64170.304444643814,' 1068.6,' 1130.0,' 3141.3'

31.585000490915945,27.2125809374362,44206.00214346618,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

88.91726747710172,58.06487475641124,681922.8510451413,' 10759.,' 11583.,' 31448.'

63.161605867034666,47.39134436724608,450826.5068463429,' 7129.9,' 7509.3,' 20768.'

97.26353284821316,74.77371429884833,431699.7787798785,' 6917.9,' 7495.0,' 20198.'

122.05470174715856,8.42368066833618,375460.09806074214,' 21562.,' 58402.,'1.00072E+05'

120.69936975780372,84.1699348983336,233483.11415057263,' 3944.9,' 4512.6,' 11795.'

38.11257009701973,17.550819515388262,696903.1210324272,' 11064.,' 11701.,' 32207.'

39.09698578389249,32.66062621814253,521476.6184338891,' 8334.2,' 8799.3,' 24325.'

49.741858674369325,17.54901244006198,638054.6718038009,' 10244.,' 10769.,' 29786.'

109.45093834447871,65.58344431361357,794035.0068947176,' 12207.,' 13658.,' 35715.'

30.112994744955294,14.848809957621345,641901.2022760595,' 10276.,' 10786.,' 29972.'

103.13905419783916,81.40077679111441,727563.3577144614,' 11339.,' 12417.,' 33121.'

41.755857238950924,32.54369231593996,129053.79022287662,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

105.49396415281836,66.2234307035779,548384.7832223345,' 8647.3,' 9512.9,' 25370.'

106.06052623478823,10.296236755028785,526323.006722993,' 8272.6,' 9147.4,' 24302.'

111.8708555228829,51.64466095117399,796168.5317905074,' 12089.,' 13621.,' 35337.'

117.35152240476945,79.51703307259586,649919.57228441,' 9830.4,' 11374.,' 29044.'

76.8830385780018,78.19051361623372,68099.00915981326,' 1145.8,' 1213.7,' 3373.2'

59.96779174344191,26.82465790688179,349151.11550512764,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

85.92665866473385,15.938182654215543,677040.9472214959,' 10708.,' 11496.,' 31159.'

109.71113928736071,2.4251022208783652,499749.98070775956,' 7858.0,' 8720.6,' 23083.'

92.36691859609765,81.96928072601374,15479.224292998793,' 302.54,' 325.52,' 901.76'

70.0151849882729,74.13771646883235,776342.7308184194,' 12484.,' 13055.,' 36091.'

73.33141483407528,27.75925256265748,333667.47466557147,' 5376.9,' 5661.0,' 15664.'

39.76973504078197,89.81974374671786,547216.6838863333,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

75.7082991535413,74.36764398233018,572772.9770087928,' 9202.4,' 9770.5,' 26699.'

113.31382430274186,59.49853531124826,794617.7848820728,' 11986.,' 13687.,' 35140.'

118.18651260785029,84.10969407612708,652292.7860320199,' 9864.9,' 11332.,' 29245.'

54.11378249248465,1.0214947578598959,621035.5404864994,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

126.59348379557183,29.666000395145886,759332.3298799868,' 39220.,'1.06143E+05,'1.33129E+05'

106.86840267166164,59.18510919902467,417115.56011353584,' 6649.7,' 7336.1,' 19576.'

68.8885716173866,59.24007464101843,460750.4222060596,' 7436.8,' 7812.0,' 21598.'

39.80563002853739,35.00263594589286,180159.24796541134,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

39.046035449541606,75.4573466004259,650951.3939820132,' 10496.,' 11021.,' 30548.'

26.493356736684248,54.180119367707604,35080.638536600316,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

31.918762189055293,86.68940334847939,329966.87120421417,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

92.39465841581571,83.64563229303218,195742.24752731604,' 3143.9,' 3270.0,' 9238.2'

42.30906639829159,26.735374218678697,232874.92232359387,' 3710.4,' 3911.9,' 10842.'

121.16072135544269,77.27511570936431,688191.3639209281,' 37367.,'1.01000E+05,'1.72849E+05'

